epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2294.2,1.28328,0.52172,1.11396,0.96813,0.97147,0.98395,0.65702,1.12944,0.41633,1.06647,0.0006932,0.0006932,0.0006932
68,2333.34,1.26252,0.5125,1.1089,0.96999,0.96998,0.98263,0.64935,1.14512,0.42385,1.07248,0.0006734,0.0006734,0.0006734
69,2372.41,1.27226,0.51573,1.11389,0.96934,0.97173,0.98125,0.65603,1.14037,0.41874,1.07,0.0006536,0.0006536,0.0006536
70,2411.96,1.26303,0.51364,1.11033,0.97151,0.96856,0.98295,0.65382,1.13389,0.41489,1.07089,0.0006338,0.0006338,0.0006338
71,2451.45,1.26537,0.51394,1.11221,0.9681,0.97123,0.97707,0.6515,1.12599,0.41719,1.06342,0.000614,0.000614,0.000614
72,2492.3,1.26275,0.51349,1.10955,0.97073,0.97168,0.98196,0.65404,1.15101,0.41281,1.0723,0.0005942,0.0005942,0.0005942
73,2532.33,1.27087,0.51257,1.11385,0.97171,0.96969,0.98377,0.6569,1.11819,0.41016,1.06477,0.0005744,0.0005744,0.0005744
74,2571.45,1.25905,0.50916,1.11063,0.96776,0.97058,0.97974,0.65612,1.15059,0.41604,1.07343,0.0005546,0.0005546,0.0005546
75,2611.29,1.25205,0.50272,1.10367,0.97047,0.96872,0.98049,0.66067,1.12534,0.41042,1.0649,0.0005348,0.0005348,0.0005348
76,2650.42,1.24927,0.50556,1.10095,0.96535,0.97065,0.9731,0.65868,1.11346,0.41317,1.06344,0.000515,0.000515,0.000515
77,2690.44,1.25162,0.50497,1.10642,0.97094,0.96713,0.98015,0.65672,1.1252,0.40545,1.06837,0.0004952,0.0004952,0.0004952
78,2730.43,1.26273,0.50534,1.10689,0.97096,0.96927,0.98132,0.66577,1.10979,0.40264,1.0641,0.0004754,0.0004754,0.0004754
79,2770.97,1.23823,0.49961,1.09529,0.96883,0.97169,0.97952,0.66336,1.10391,0.40494,1.0558,0.0004556,0.0004556,0.0004556
80,2810.81,1.23502,0.49731,1.09769,0.97314,0.96802,0.98204,0.65962,1.1131,0.40258,1.05719,0.0004358,0.0004358,0.0004358
81,2850.51,1.23455,0.49794,1.09322,0.96718,0.97141,0.97842,0.66233,1.10763,0.40656,1.05838,0.000416,0.000416,0.000416
82,2889.79,1.22853,0.49364,1.09077,0.96981,0.97034,0.97944,0.66297,1.10568,0.40506,1.05604,0.0003962,0.0003962,0.0003962
83,2929.36,1.23088,0.49702,1.09661,0.96874,0.96891,0.98149,0.6618,1.11158,0.40314,1.06364,0.0003764,0.0003764,0.0003764
84,2970.01,1.23548,0.49379,1.09558,0.96842,0.96984,0.98022,0.6625,1.11007,0.39991,1.06103,0.0003566,0.0003566,0.0003566
85,3008.93,1.21288,0.48757,1.09398,0.97138,0.9682,0.98049,0.66522,1.11096,0.40001,1.05977,0.0003368,0.0003368,0.0003368
86,3048.78,1.22669,0.48913,1.09302,0.97173,0.96891,0.98198,0.66552,1.10808,0.39917,1.05714,0.000317,0.000317,0.000317
87,3088.56,1.21186,0.4864,1.08746,0.96987,0.97088,0.98315,0.66732,1.10332,0.39862,1.0571,0.0002972,0.0002972,0.0002972
88,3128.19,1.20439,0.48093,1.0876,0.97176,0.96855,0.98278,0.66831,1.10123,0.39452,1.05755,0.0002774,0.0002774,0.0002774
89,3167.09,1.20118,0.48054,1.08408,0.97208,0.97039,0.98208,0.66607,1.1038,0.39461,1.05669,0.0002576,0.0002576,0.0002576
90,3205.95,1.2082,0.47884,1.08707,0.96943,0.97454,0.98233,0.66759,1.10399,0.39205,1.05509,0.0002378,0.0002378,0.0002378
91,3257.19,1.16948,0.43717,1.09635,0.96706,0.97195,0.97913,0.65964,1.10827,0.39893,1.05864,0.000218,0.000218,0.000218
92,3295.12,1.15528,0.43048,1.09544,0.96752,0.97106,0.97958,0.6655,1.09677,0.39715,1.05543,0.0001982,0.0001982,0.0001982
93,3333.59,1.14872,0.43017,1.08347,0.97089,0.97129,0.98231,0.66669,1.09489,0.39145,1.0531,0.0001784,0.0001784,0.0001784
94,3372.13,1.14203,0.42798,1.0816,0.97015,0.97249,0.98167,0.66684,1.1022,0.39221,1.05616,0.0001586,0.0001586,0.0001586
95,3410.3,1.14506,0.42952,1.08269,0.97093,0.97259,0.98343,0.66964,1.09371,0.39052,1.05487,0.0001388,0.0001388,0.0001388
96,3448.43,1.14487,0.42864,1.08654,0.96945,0.97159,0.9827,0.6683,1.09593,0.39073,1.05434,0.000119,0.000119,0.000119
97,3486.27,1.13445,0.42288,1.08075,0.97286,0.97034,0.9826,0.66999,1.09751,0.38996,1.05428,9.92e-05,9.92e-05,9.92e-05
98,3523.95,1.13008,0.42377,1.0762,0.97174,0.97064,0.98231,0.66728,1.10146,0.39149,1.05666,7.94e-05,7.94e-05,7.94e-05
99,3562.03,1.12824,0.42044,1.07873,0.97105,0.97088,0.9816,0.66832,1.09734,0.39143,1.05596,5.96e-05,5.96e-05,5.96e-05
100,3600.56,1.1235,0.42216,1.07363,0.97002,0.97088,0.98092,0.66894,1.09239,0.38962,1.05446,3.98e-05,3.98e-05,3.98e-05
